lob,RMSE,MAE,n
Condominiuns,2221.8003995291524,649.9957448210457,5837
Household,1776.896882312452,612.5236816633218,34154
Marine,3735.2009005614946,2596.694106200478,17
Motor,1861.4197892890227,1378.071503091961,1738
Prop.(Non Shops),29993.521908668135,3882.5462233049025,2956
Property,19420.752551570127,7725.519407537085,496
Property Engineering Lines,69825.14560515087,23598.30703432169,46
Shops,4419.472519655401,1157.6953125017328,2305
