lob,RMSE,MAE,n
Condominiuns,2215.305395907531,688.9213142996268,5837
Household,1773.9865995187056,655.5374577980468,34154
Marine,6421.183926455179,3974.506896242774,17
Motor,1930.3392673720803,1438.0808201623558,1738
Prop.(Non Shops),26422.277002796876,4187.631615746482,2956
Property,18867.75022309924,8534.032984863603,495
Property Engineering Lines,67912.08949258388,25938.03479500982,46
Shops,4408.461751072412,1235.2030810537572,2305
