decile,obs,pred,n
1,510.7134763406963,449.8625964011852,4755
2,533.6132933753956,477.63873947692827,4755
3,616.9600126182985,503.5864105673003,4755
4,482.8534490010542,527.2767678728335,4755
5,675.9009968454255,555.1828940651632,4755
6,720.4484563617234,578.5596683299628,4755
7,669.1224458464796,619.5629384951901,4755
8,893.4705930599379,704.1010808848083,4755
9,1156.5825809844328,948.085006790234,4754
10,4133.951712242328,2775.71925438457,4754
